name,description,brand,size_by_ml,six,type,old_price,price
gucci premiere,"gucci premiere by gucci for women - eau de parfum, 50ml",gucci ,50,women,parfum,490.00 SAR,189.99
eau de lacoste,"eau de lacoste by lacoste for women - eau de parfum, 90ml",lacoste ,90,women,parfum,242.00 SAR,116.97
amarige,"amarige by givenchy for women - eau de toilette, 100ml",givenchy ,100,women,toilette,450.00 SAR,238.88
elle,"elle by yves saint laurent for women - eau de parfum, 90 ml",yves saint laurent ,90,women,parfum,420.00 SAR,383.92
boss orange,"boss orange by hugo boss for women - eau de toilette, 75ml",hugo boss ,75,women,toilette,389.00 SAR,102.97
wisal,"wisal by ajmal for woman - eau de parfum, 50 ml",ajmal ,50,na,parfum,78.75 SAR,69.97
black opium,"black opium by yves saint laurent for women - eau de toilette, 90ml",yves saint laurent ,90,women,toilette,524.00 SAR,331.62
night time,"night time by azzaro for men - eau de toilette, 100ml",azzaro ,100,men,toilette,263.00 SAR,89.93
white musk,"white musk by jovan musk for women - eau de cologne, 59 ml",jovan musk ,59,women,na,84.00 SAR,26.99
chance tendre,"chance tendre by chanel for women - eau de toilette, 100ml",chanel ,100,women,toilette,583.00 SAR,458.32
polo supreme oud,"polo supreme oud by ralph lauren for men - eau de parfum, 125ml",ralph lauren ,125,men,parfum,483.00 SAR,314.95
thierry mugler angel women edp 50ml,thierry mugler angel women edp 50ml,na,50,women,na,264.01,264.01
green tea summer,"green tea summer by elizabeth arden for women - eau de toilette, 100ml",elizabeth arden ,100,women,toilette,105.00 SAR,60.63
the one collector,"the one collector by dolce & gabbana for women - eau de parfum, 75ml",dolce & gabbana ,75,women,parfum,719.00 SAR,235.20
pour homme soir,"pour homme soir by bvlgari for men - eau de toilette, 100ml",bvlgari ,100,men,toilette,357.00 SAR,235.87
guerlain samsara,"guerlain samsara for women -100ml, eau de parfum-",na,100,women,parfum,373.00 SAR,234.99
extreme,"extreme by hugo boss for men - eau de parfum, 100ml",hugo boss ,100,men,parfum,139.19,139.19
brit,"brit by burberry for men - eau de toilette, 100ml",burberry ,100,men,toilette,378.00 SAR,122.09
burberry brit rhythm floral eau de toilette,burberry brit rhythm floral eau de toilette for women - 90ml,na,90,women,toilette,294.00 SAR,120.77
pour homme,"pour homme by issey miyake for men - eau de toilette , 125ml",issey miyake ,125,men,toilette,300.00 SAR,140.30
yellow diamond,"yellow diamond by versace for women - eau de toilette, 90 ml",versace ,90,women,toilette,188.00 SAR,161.00
jacomo de jacomo,jacomo de jacomo by jacomo edt 100ml for men,jacomo edt 100ml ,100,men,na,179.00 SAR,54.00
